*****************************
*** Declaration key words ***
*****************************

class|Declare class|<html>Declare the class in ASM files:<br><table border=1><tr><td>class &lt;ClassCompleteName&gt;</td></tr></table></html>
MONITOREXIT|Exit monitor|<html> Description : Exit monitor for object<br> Syntax :<br> <table border=1><tr><td>MONITOREXIT</td></tr></table><br> Operand stack : <table border=1><tr><td>..., objectref => ...</td></tr></table><br> Where : <ul> <li>objectref: reference to object to exit monitor</li> </ul> Details: The thread that executes monitorexit must be the owner of the monitor associated with the instance referenced by objectref. <br> The thread decrements the entry count of the monitor associated with objectref. If as a result the value of the entry count is zero, the thread exits the monitor and is no longer its owner. Other threads that are blocking to enter the monitor are allowed to attempt to do so.</html>
MULTIANEWARRAY|New multidimensional array|<html> Description : Create new multidimensional array<br> Syntax :<br> <table border=1><tr><td>MULTIANEWARRAY &lt;type&gt; &lt;numberOfDimensions&gt;</td></tr></table><br> Where : <ul> <li>type : Array type (signature or class name)</li> <li>numberOfDimensions : Number of dimensions (int)</li> </ul> Operand stack : <table border=1><tr><td>.., count1, [count2, ...] => ..., arrayref</td></tr></table><br> Where : <ul> <li>count(i) : size for dimension i</li> <li>arrayref : reference on created array</li> </ul></html>
NEW|New object|<html> Description : Create new object<br> Syntax :<br> <table border=1><tr><td>NEW &lt;type&gt;</td></tr></table><br> Where : <ul> <li>type : array type class name or signature</li> </ul> Operand stack : <table border=1><tr><td>... => ..., objectref</td></tr></table><br> Where : <ul> <li>objectref : reference on created object</li> </ul></html>
NEWARRAY|New array|<html> Description : Create new array<br> Syntax :<br> <table border=1><tr><td>NEWARRAY &lt;primitiveType&gt;</td></tr></table><br> Where : <ul> <li>primitiveType : primitive array type : boolean, char, byte, short, int, long, float, double</li> </ul> Operand stack : <table border=1><tr><td>..., count => ..., arrayref</td></tr></table><br> Where : <ul> <li>count : Array size (int)</li> <li>arrayref : Reference on array</li> </ul></html>
NOP|No operation|<html> Description : Do nothing<br> Syntax :<br> <table border=1><tr><td>NOP</td></tr></table><br> Operand stack : <table border=1><tr><td>No change</td></tr></table></html>
POP|Pop value|<html> Description : Pop the top operand stack value</td></tr></table><br> Syntax :<br> <table border=1><tr><td>POP</td></tr></table><br> Operand stack : <table border=1><tr><td>.., value => ...</td></tr></table><br> Where : <ul> <li>value : value to pop (Not long nor double)</li> </ul></html>
POP2|Pop value|<html> Description : Pop the top one or two operand stack values<br> Syntax :<br> <table border=1><tr><td>POP2</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value2, value1 => ...</td></tr></table><br> Where : <ul> <li>value1 : value to pop (Not long nor double)</li> <li>value2 : value to pop (Not long nor double)</li> </ul> <br> <h1><b>OR</b></h1><br> <br> Operand stack : <table border=1><tr><td>..., value => ...</td></tr></table><br> Where : <ul> <li>value : value to pop (long or double)</li> </ul></html>
PUSH|Push value|<html> Description : Convenient instruction for push a value (It choose the good instruction for push the value)<br> Syntax :<br> <table border=1><tr><td>PUSH  &lt;constantValue&gt;</td></tr></table><br> Where : <ul> <li>constantValue : constant value to push</li> </ul> Operand stack : <table border=1><tr><td>... => ..., value</td></tr></table><br> Where : <ul> <li>value : Value pushed</li> </ul> Details: The constant can have several form : <ul> <li>boolean : true or false (int pushed)</li> <li>char : 'a', 'z', '\t', ... like Java character (int pushed)</li> <li>int : 12, -5, 3, ... (int pushed)</li> <li>long : 15l, -8L, ... L end to indicates it is long (long pushed)</li> <li>float : 1f, 0.2f, .3F, ... F end to indicates it is float (float pushed)</li> <li>double : 1.0, 5d, 3.2D, ... with ., or end with D (double pushed)</li> <li>String : "file", "", "phrase\nhi" Like Java String (reference to String pushed)</li> </ul></html>
PUTFIELD|Put value on field|<html> Description : Set field in object<br> Syntax :<br> <table border=1><tr><td>PUTFIELD &lt;fieldName&gt;</td></tr></table><br> Where : <ul> <li>fieldName : Name/alias of the field</li> </ul> Operand stack : <table border=1><tr><td>..., objectref, value => ...</td></tr></table><br> Where : <ul> <li>objectref : Reference on object</li> <li>value : Value to push on field</li> </ul></html>
PUTSTATIC|Put value on field|<html> Description : Set static field in object<br> Syntax :<br> <table border=1><tr><td>PUTFIELD &lt;fieldName&gt;</td></tr></table><br> Where : <ul> <li>fieldName : Name/alias of the field</li> </ul> Operand stack : <table border=1><tr><td>..., value => ...</td></tr></table><br> Where : <ul> <li>value : Value to push on field</li> </ul></html>
RET|Return from subroutine|<html> Description : Return from subroutine<br> Syntax :<br> <table border=1><tr><td>RET &lt;localVaraible&gt;</td></tr></table><br> Where : <ul> <li>localVaraible : Name of local variable where return address is stored</li> </ul> Operand stack : <table border=1><tr><td>No change </td></tr></table><br> Details: It is used in combination with <i>JSR</i>/<i>JSR_W</i>.<br> When enter in subroutine, the return address is on the top of the stack, if you want things go properly, you can adopt 2 strategies : <ol> <li>The most easy is to store the return address in local variable as first instruction of subroutine and not modify this variable until the end of the subroutine to use it only for <i>RET</i>.</li> <li>Or pay attention to stack status in way that the address not delete from the stack and be at top at the end of subroutine and store it in local variable just before call the <i>RET</i>.</li> </ol></html>
RETURN|Return void|<html> Description : Return void from method<br> Syntax :<br> <table border=1><tr><td>RETURN</td></tr></table><br> Operand stack : <table border=1><tr><td>... => [empty]</td></tr></table><br></html>
SALOAD|Load from local variable|<html> Description : Load short from array<br> Syntax :<br> <table border=1><tr><td>SALOAD</td></tr></table><br> Operand stack : <table border=1><tr><td>..., arrayref, index => ..., value</td></tr></table><br> Where : <ul> <li>arrayref : Array reference</li> <li>index : Array index (int)</li> <li>value : Value in array at index (int)</li> </ul> Details: The short value is sign-extended to an int value</html>
SASTORE|Store to local variable|<html> Description : Store short to array<br> Syntax :<br> <table border=1><tr><td>SASTORE</td></tr></table><br> Operand stack : <table border=1><tr><td>..., arrayref, index, value => ...</td></tr></table><br> Where : <ul> <li>arrayref : Array reference</li> <li>index : Array index (int)</li> <li>value : Value to put in array at index (int)</li> </ul> Details: The int value is truncated to short value</html>
SIPUSH|Push short|<html> Description : Push short<br> Syntax :<br> <table border=1><tr><td>SIPUSH &lt;value&gt;</td></tr></table><br> Where : <ul> <li>value : Value to push (short)</li> </ul> Operand stack : <table border=1><tr><td>... => ..., value</td></tr></table><br> Where : <ul> <li>value ; Value pushed (int)</li> </ul> Details: The short value is sign-extended to an int value</html>
SWAP|Exchange value|<html> Description : Swap the top two operand stack values<br> Syntax :<br> <table border=1><tr><td>SWAP</td></tr></table><br> Operand stack : <table border=1><tr><td>..., value1, value2 => ..., value2, value1</td></tr></table><br> Where : <ul> <li>value1 : Value to swap (Not double nor long)</li> <li>value2 : Value to swap (Not double nor long)</li> </ul></html>
SWITCH|Switch to labels|<html> Description : Switch to label depends on given key<br> Syntax :<br> <table border=1><tr><td>SWITCH (&lt;match&gt; &lt;label&gt;)* &lt;defaultLabel&gt;  </td></tr></table><br> Where : <ul> <li>match : Match value (int)</li> <li>label : Label to go if key match to match value</li> <li>defaultLabel : Label to go if key not match</li> </ul> <br> Operand stack : <table border=1><tr><td>..., key => ...</td></tr></table><br> Where : <ul> <li>key : the key value (int)</li> </ul> <br> Details: <i>SWITCH</i> instruction will choose the best optimized instruction choose between <i>LOOKUPSWITCH</i> and <i>TABLESWITCH</i> depends on given match/label pairs</html>
TABLESWITCH|Switch to labels|<html> Description : Switch to label depends on given key<br> Syntax :<br> <table border=1><tr><td>TABLESWITCH (&lt;match&gt; &lt;label&gt;)* &lt;defaultLabel&gt;  </td></tr></table><br> Where : <ul> <li>match : Match value (int)</li> <li>label : Label to go if key match to match value</li> <li>defaultLabel : Label to go if key not match</li> </ul> <br> Operand stack : <table border=1><tr><td>..., key => ...</td></tr></table><br> Where : <ul> <li>key : the key value (int)</li> </ul> <br> Details: <i>TABLESWITCH</i> is designed for switch with a limited number of case and gap between case not too big<br> If you don't know the best choose between <i>LOOKUPSWITCH</i> and <i>TABLESWITCH</i> use the <i>SWITCH</i> instruction it will choose the best optimized instruction to use</html>

*******************************
*** Additional instructions ***
*******************************

LABEL|Declare label|<html> Special instruction (Not opcode) for declare a label<br> Syntax :<br> <table border=1><tr><td>LABEL &lt;name&gt;</td></tr></table><br> Where <i>name</i> is the label name and respects [a-zA-Z][a-zA-Z0-9_]*</html>
SUB_C|Subroutine call|<html> Special instruction for call a subroutine<br> Syntax :<br> <table border=1><tr><td>SUB_C &lt;name&gt;</td></tr></table><br> Where <table border=1><tr><td>name</td></tr></table> is the subroutine name to call. <br> Operand stack : <table border=1><tr><td>... => ..., address</td></tr></table><br> Where address is the address to return<br> Details : Instructions <i>SUB_C</i>, <i>SUB_S</i> and <i>SUB_E</i> are to facilitate the subroutine creation to resolve the problem of return address<br> Here it call the subroutine, just use its name.<br> Warning subroutines must be have one <i>SUB_S</i> and one <i>SUB_E</i> (The sub routine code is between this 2 instructions). Then they MUST be call with <i>SUB_C</i> (You can use it in several places), other branch instruction outside subroutine code that goes inside subroutine code may cause unexpected result or crash. Same risk apply if exit from subroutine code without <i>SUB_E</i> or call an other subroutine with <i>SUB_C</i>. The subroutine don't manage well the recursive call here, if you want some, you have to deal with <i>JSR</i>/<i>JSR_W</i> and <i>RET</i> and apply the second strategy explains in <i>RET</i>.</html>
SUB_E|Subroutine end|<html> Special instruction for end a subroutine code<br> Syntax :<br> <table border=1><tr><td>SUB_E &lt;name&gt;</td></tr></table><br> Where <table border=1><tr><td>name</td></tr></table> is the subroutine name to exit. <br> Operand stack : <table border=1><tr><td>No change</td></tr></table> <br> Details : Instructions <i>SUB_C</i>, <i>SUB_S</i> and <i>SUB_E</i> are to facilitate the subroutine creation to resolve the problem of return address<br> Use this instruction to terminate the subroutine code <br> Warning subroutines must be have one <i>SUB_S</i> and one <i>SUB_E</i> (The sub routine code is between this 2 instructions). Then they MUST be call with <i>SUB_C</i> (You can use it in several places), other branch instruction outside subroutine code that goes inside subroutine code may cause unexpected result or crash. Same risk apply if exit from subroutine code without <i>SUB_E</i> or call an other subroutine with <i>SUB_C</i>. The subroutine don't manage well the recursive call here, if you want some, you have to deal with <i>JSR</i>/<i>JSR_W</i> and <i>RET</i> and apply the second strategy explains in <i>RET</i>.</html>
SUB_S|Subroutine start|<html> Special instruction for start a subroutine code<br> Syntax :<br> <table border=1><tr><td>SUB_S &lt;name&gt;</td></tr></table><br> Where <table border=1><tr><td>name</td></tr></table> is the subroutine name to start. <br> Operand stack : <table border=1><tr><td>..., address -> ...</td></tr></table> <br> Details : Instructions <i>SUB_C</i>, <i>SUB_S</i> and <i>SUB_E</i> are to facilitate the subroutine creation to resolve the problem of return address<br> Use this instruction to start the subroutine code<br> Warning subroutines must be have one <i>SUB_S</i> and one <i>SUB_E</i> (The sub routine code is between this 2 instructions). Then they MUST be call with <i>SUB_C</i> (You can use it in several places), other branch instruction outside subroutine code that goes inside subroutine code may cause unexpected result or crash. Same risk apply if exit from subroutine code without <i>SUB_E</i> or call an other subroutine with <i>SUB_C</i>. The subroutine don't manage well the recursive call here, if you want some, you have to deal with <i>JSR</i>/<i>JSR_W</i> and <i>RET</i> and apply the second strategy explains in <i>RET</i>.</html>
VAR|Declare local variable|<html> Special instruction (Not opcode) for declare a variable<br> Syntax:<br> <table border=1><tr><td>VAR &lt;Type&gt; &lt;name&gt;</td></tr></table><br> Where <table border=1><tr><td>Type</td></tr></table> is the variable type. <br> Where <table border=1><tr><td>name</td></tr></table> is the variable name and respects [a-zA-Z][a-zA-Z0-9_]*</html>
TRY|Start try/catch block|<html> Special instruction (Not opcode) for start try/catch block<br> Syntax:<br> <table border=1><tr><td>TRY &lt;Type&gt; &lt;name&gt;</td></tr></table><br> Where <table border=1><tr><td>Type</td></tr></table> is the exception type. <br> Where <table border=1><tr><td>name</td></tr></table> is the exception name and respects [a-zA-Z][a-zA-Z0-9_]*</html>
CATCH|End try/catch block|<html> Special instruction (Not opcode) for end try/catch block<br> Syntax:<br> <table border=1><tr><td>CATCH &lt;name&gt; &lt;label&gt;</td></tr></table><br> Where <table border=1><tr><td>name</td></tr></table> is the exception name and respects [a-zA-Z][a-zA-Z0-9_]*<br> Where <table border=1><tr><td>label</td></tr></table> is the label to go if exception happen</html> 
